,security_type,symbol,name,primary_exchange,currency,sector
sec-s-54c584f9965148529fbdbd47b8ccda37,equity,AMI,Athabasca Minerals Inc,TSX-V,CAD,"Mining, Materials"
sec-s-44e8fb08236e4e23898dfefd5273ffa8,equity,AMS.X,Alchemist Mining Inc,CSE,CAD,
sec-s-302d065ca4434560b782b8af439ab498,equity,AMM,Almaden Minerals Ltd,TSX,CAD,"Mining, Materials"
sec-s-bcb88ca420a44c07a46dd1f975929620,equity,AMMO,Bullet Exploration Inc,TSX-V,CAD,
sec-s-66fdd207576e474abf9763dc80845570,equity,SFR,Sandfire Resources America Inc,TSX-V,CAD,
sec-s-d7f4559bc3c348cda3323ae8e8f08a3c,equity,PHA,Premier Health of America Inc,TSX-V,CAD,
sec-s-ccc08f144b744c6d924c18196b57ac29,equity,BOFA,Bank of America CDR (CAD Hedged) ,AEQUITAS NEO EXCHANGE,CAD,
sec-s-d044fcfe85084afc91f1e2086c655d8d,equity,AWLI,Ameriwest Lithium Inc.,CSE,CAD,
sec-s-8f6093037dc94aa6b0ba581aa270d5c3,equity,MRG.UN,Morguard North American Residential Real Estate Investment Trust,TSX,CAD,
sec-s-2b57a7385fea4b0fb4b44d5ccbd75250,equity,AN,Arena Minerals Inc,TSX-V,CAD,
sec-s-88ad2e835ca44187ab7f09d19309f8f0,equity,AND,Andlauer Healthcare Group Inc,TSX,CAD,
sec-s-82853014331645bcb55c27018e239b4b,equity,ANTL,Antler Gold Inc.,TSX-V,CAD,
sec-s-1590480950db40719b8d46c97c3f4384,equity,ANK,Angkor Resources Corp,TSX-V,CAD,
sec-s-92a2e201a57742e29e9cfc5252281952,equity,ANG,Angel Gold Corp,TSX-V,CAD,
sec-s-ce1a637195ab4496bbadfdeaec2622a4,equity,ANRG,Anaergia Inc,TSX,CAD,
sec-s-c30532450d274a11ae3e3d4ae561a0b1,equity,ANX,Anaconda Mining Inc,TSX,CAD,
sec-s-05c765bc3ec64a2882f3c2e7218dc9e4,equity,ANE,Altan Nevada Minerals Ltd,TSX-V,CAD,
sec-s-69a9c57da9a24a3a82acfa28ccc0e304,equity,ANZ,Alianza Minerals Ltd,TSX-V,CAD,
sec-s-00a402d49a8241e2868fe2ecf8c4321a,equity,CSW.A,Corby Spirit and Wine Ltd (Class A),TSX,CAD,"Food, Alcohol and Tobacco, Consumer Products"
